,policy_id,customer_gender_female,customer_gender_male,policy_state_or,injury_claim,policy_state_ca,collision_type_na,police_report_available,incident_month,policy_state_nv,customer_age,collision_type_front,total_claim_amount,incident_type_theft,collision_type_side,customer_education,policy_state_wa,incident_type_breakin,num_witnesses,driver_relationship_child,auto_year,authorities_contacted_fire,policy_annual_premium,driver_relationship_spouse,collision_type_rear,months_as_customer,num_injuries,num_insurers_past_5_years,incident_dow,driver_relationship_na,incident_day,authorities_contacted_none,policy_state_az,num_claims_past_year,policy_state_id,num_vehicles_involved,incident_severity,policy_deductable,authorities_contacted_police,incident_type_collision,fraud,authorities_contacted_ambulance,driver_relationship_other,policy_liability,incident_hour,driver_relationship_self,vehicle_claim
29,4889,1,0,0,0.0,1,0,1,7,0,34,1,14500.0,0,0,3,0,0,0,1,2019,0,2950,0,0,69,0,1,4,0,19,0,0,0,0,3,0,750,1,1,0,0,0,0,20,0,14500.0
30,4928,1,0,1,0.0,0,1,0,2,0,39,0,8000.0,0,0,3,0,1,1,0,2015,0,3000,0,0,124,0,1,4,1,1,0,0,0,0,1,0,750,1,0,0,0,0,1,10,0,8000.0
31,3337,0,1,0,0.0,1,1,0,3,0,63,0,7000.0,1,0,3,0,0,0,0,2012,0,3000,0,0,191,0,1,3,1,14,0,0,0,0,1,1,750,1,0,0,0,0,1,3,0,7000.0
32,3671,0,1,0,0.0,0,0,0,12,0,58,0,10000.0,0,1,1,0,0,1,0,2015,0,2550,0,0,303,0,1,3,0,26,0,1,0,0,2,1,750,1,1,0,0,0,3,15,1,10000.0
33,2137,0,1,0,22000.0,1,0,1,11,0,32,0,58500.0,0,0,3,0,0,2,0,2019,0,2700,0,1,19,1,4,5,0,23,0,0,0,0,3,2,750,1,1,0,0,0,3,12,1,36500.0
34,3689,0,1,0,0.0,0,0,1,6,0,52,1,16000.0,0,0,1,0,0,0,1,2018,0,3000,0,0,170,0,1,6,0,16,0,1,0,0,3,0,750,1,1,0,0,0,2,9,0,16000.0
35,2217,0,1,0,0.0,1,0,1,5,0,34,0,11500.0,0,1,4,0,0,0,0,2019,0,3000,0,0,31,0,1,5,0,11,0,0,0,0,2,0,750,1,1,0,0,0,1,16,1,11500.0
36,3910,1,0,0,17000.0,1,0,0,9,0,39,0,30500.0,0,0,4,0,0,0,0,2018,0,3000,0,1,120,1,1,3,0,26,1,0,1,0,2,0,750,0,1,0,0,0,2,13,1,13500.0
37,745,0,1,0,14000.0,1,0,0,7,0,28,1,25500.0,0,0,3,0,0,0,0,2017,0,3000,0,0,35,2,1,2,0,24,0,0,0,0,2,1,750,1,1,0,0,0,2,14,1,11500.0
38,923,0,1,0,0.0,0,1,0,9,0,37,0,10000.0,0,0,2,0,1,0,0,2018,0,3000,0,0,143,0,1,3,1,5,0,1,0,0,1,0,750,1,0,0,0,0,0,8,0,10000.0
39,4155,0,1,0,0.0,1,0,1,11,0,20,0,4000.0,0,0,3,0,0,1,0,2010,0,3000,0,1,21,0,2,4,0,15,0,0,0,0,3,0,750,1,1,0,0,0,2,10,1,4000.0
40,4465,1,0,0,11500.0,1,0,0,7,0,36,1,50500.0,0,0,3,0,0,0,0,2019,0,3000,0,0,28,1,4,0,0,29,0,0,0,0,2,2,750,1,1,1,0,0,3,5,1,39000.0
41,4854,0,1,0,0.0,0,1,0,11,1,39,0,14500.0,1,0,1,0,0,0,0,2011,0,3000,0,0,104,0,1,1,1,26,0,0,0,0,1,1,750,1,0,0,0,0,2,20,0,14500.0
42,1,1,0,0,0.0,1,0,1,11,0,54,0,15000.0,0,0,2,0,0,2,0,2019,0,3000,0,1,381,0,1,0,0,18,0,0,0,0,3,1,750,1,1,0,0,0,1,7,1,15000.0
43,1737,0,1,0,0.0,0,0,0,10,0,34,1,9000.0,0,0,3,1,0,0,0,2018,0,3000,0,0,15,0,2,3,0,17,1,0,0,0,1,0,750,0,1,0,0,0,2,16,1,9000.0
44,2104,1,0,0,0.0,0,0,0,5,0,61,0,10000.0,0,0,3,1,0,2,0,2008,0,3000,0,1,200,0,1,5,0,18,0,0,0,0,2,1,750,1,1,0,0,0,2,0,1,10000.0
45,3874,0,1,0,0.0,1,0,0,6,0,61,0,13500.0,0,1,3,0,0,0,0,2018,0,2500,1,0,89,0,1,6,0,2,1,0,0,0,1,0,750,0,1,0,0,0,1,10,0,13500.0
46,703,0,1,0,0.0,0,1,0,4,0,37,0,1000.0,0,0,3,0,1,0,0,2002,0,2800,0,0,95,0,1,2,1,3,0,0,0,1,1,0,750,1,0,0,0,0,1,4,0,1000.0
47,2459,0,1,0,18000.0,0,0,0,10,0,43,0,57500.0,0,0,1,1,0,1,0,2016,0,3000,0,1,28,1,1,2,0,16,0,0,0,0,2,2,750,1,1,0,0,0,1,18,1,39500.0
48,3967,0,1,1,0.0,0,0,1,1,0,25,1,20000.0,0,0,3,0,0,0,0,2017,0,3000,0,0,53,0,1,4,0,25,0,0,0,0,2,1,750,1,1,0,0,0,1,16,1,20000.0
49,2581,0,1,0,16000.0,0,0,1,1,0,67,0,46000.0,0,1,3,0,0,0,0,2015,0,2900,0,0,132,4,1,1,0,8,0,1,0,0,3,2,750,1,1,0,0,0,2,10,1,30000.0
50,951,0,1,0,0.0,1,1,0,8,0,54,0,14000.0,0,0,3,0,1,0,0,2017,0,3000,0,0,142,0,1,1,1,6,0,0,0,0,1,0,750,1,0,0,0,0,0,20,0,14000.0
51,4356,0,1,0,0.0,1,0,0,9,0,53,0,12000.0,0,1,3,0,0,0,0,2017,0,3000,0,0,255,0,1,3,0,5,1,0,0,0,2,0,750,0,1,0,0,0,2,8,1,12000.0
52,2851,0,1,0,0.0,1,0,0,10,0,69,0,7500.0,0,1,3,0,0,0,0,2016,0,2850,0,0,218,0,1,3,0,24,1,0,0,0,2,0,750,0,1,0,0,0,0,11,1,7500.0
53,4583,0,1,0,16500.0,1,0,1,10,0,50,0,56500.0,0,0,3,0,0,4,0,2018,0,2600,0,1,26,2,3,4,0,25,0,0,0,0,4,2,750,1,1,0,0,0,0,8,1,40000.0
54,3728,0,1,0,0.0,0,0,0,8,0,63,1,14000.0,0,0,3,1,0,0,0,2017,0,3000,0,0,92,0,1,3,0,22,1,0,0,0,2,0,750,0,1,0,0,0,1,11,1,14000.0
55,517,0,1,0,0.0,0,0,1,8,1,59,0,16000.0,0,0,4,0,0,2,0,2018,0,3000,0,1,76,0,1,0,0,12,0,0,0,0,2,0,750,1,1,0,0,0,1,10,1,16000.0
56,654,0,1,0,0.0,1,0,1,8,0,31,0,12500.0,0,1,4,0,0,3,0,2010,0,2500,0,0,83,0,1,6,0,11,0,0,0,0,3,2,750,1,1,0,0,0,3,11,1,12500.0
57,2481,0,1,0,0.0,0,0,0,9,0,51,1,12500.0,0,0,1,0,0,1,0,2016,0,2650,0,0,47,0,3,3,0,26,0,0,0,1,2,1,750,1,1,0,0,0,1,4,1,12500.0
58,4105,0,1,0,0.0,1,1,0,6,0,20,0,13500.0,0,0,1,0,1,0,0,2018,0,3000,0,0,2,0,5,0,1,17,0,0,0,0,1,0,750,1,0,0,0,0,0,9,0,13500.0
59,904,0,1,1,0.0,0,0,0,2,0,55,0,11500.0,0,1,1,0,0,1,0,2009,0,3000,0,0,53,0,1,2,0,27,0,0,0,0,2,0,750,1,1,0,0,0,1,7,1,11500.0
60,4400,0,1,0,0.0,1,0,1,12,0,48,1,8500.0,0,0,3,0,0,2,0,2012,0,3000,0,0,87,0,1,2,0,11,0,0,0,0,2,0,750,1,1,0,0,0,1,17,1,8500.0
61,4838,1,0,0,7000.0,0,0,0,10,0,56,0,40500.0,0,0,4,0,0,0,0,2016,1,3000,0,1,155,1,1,5,0,26,0,1,0,0,2,2,750,0,1,0,0,0,2,11,1,33500.0
62,205,1,0,0,0.0,1,1,0,1,0,57,0,15000.0,0,0,3,0,1,0,0,2016,0,2900,0,0,470,0,1,1,1,29,0,0,0,0,1,0,750,1,0,0,0,0,0,20,0,15000.0
63,3540,0,1,0,0.0,1,1,0,7,0,30,0,11500.0,0,0,3,0,1,0,0,2014,0,3000,0,0,61,0,1,0,1,15,0,0,1,0,1,0,750,1,0,0,0,0,0,19,0,11500.0
64,343,1,0,0,0.0,0,0,1,8,0,54,1,15000.0,0,0,1,1,0,0,0,2016,0,3000,0,0,136,0,1,6,0,11,0,0,0,0,2,0,750,1,1,0,0,0,2,4,1,15000.0
65,3641,1,0,0,30000.0,1,0,1,8,0,23,0,42500.0,0,0,1,0,0,1,0,2017,0,3000,0,1,11,1,2,4,0,9,0,0,0,0,2,1,750,1,1,0,0,0,2,11,1,12500.0
66,2197,0,1,0,0.0,0,0,1,5,0,64,0,18000.0,0,0,3,0,0,0,0,2019,0,2650,0,1,128,0,1,1,0,14,0,1,0,0,2,1,750,1,1,0,0,0,3,11,1,18000.0
67,591,1,0,0,0.0,1,0,0,4,0,37,0,11500.0,0,0,3,0,0,0,1,2018,0,3000,0,1,33,0,3,4,0,19,1,0,0,0,2,0,750,0,1,0,0,0,0,8,0,11500.0
68,2374,0,1,0,20000.0,0,0,1,12,1,38,1,34500.0,0,0,4,0,0,1,0,2014,0,3000,0,0,110,1,1,1,0,17,0,0,3,0,3,1,750,1,1,0,0,0,1,22,1,14500.0
69,2402,0,1,0,0.0,1,0,0,12,0,42,1,4000.0,0,0,4,0,0,2,0,2015,0,2650,0,0,30,0,2,0,0,2,1,0,0,0,2,0,750,0,1,0,0,0,0,12,1,4000.0
70,2650,0,1,0,0.0,1,0,0,8,0,18,0,11500.0,0,0,1,0,0,0,0,2013,0,3000,0,1,6,0,5,2,0,7,1,0,0,0,2,0,750,0,1,0,0,0,0,10,1,11500.0
71,1314,1,0,0,9000.0,0,0,1,4,0,69,1,38000.0,0,0,1,0,0,2,0,2013,0,3000,0,0,137,1,1,4,0,5,0,1,0,0,3,2,750,1,1,0,0,0,1,12,1,29000.0
72,3137,1,0,0,0.0,0,0,0,9,0,27,0,11000.0,0,1,3,0,0,0,0,2018,0,3000,0,0,27,0,3,4,0,20,1,1,0,0,1,0,750,0,1,0,0,0,1,18,1,11000.0
73,3409,0,1,0,0.0,0,0,0,11,0,34,1,3500.0,0,0,3,0,0,0,0,2017,0,3000,0,0,121,0,1,4,0,22,1,1,0,0,1,0,750,0,1,0,0,0,3,10,1,3500.0
74,1897,1,0,0,7500.0,0,0,1,4,0,70,1,42000.0,0,0,3,1,0,1,0,2019,0,3000,0,0,123,3,1,3,0,4,0,0,0,0,3,2,750,1,1,0,0,0,3,10,1,34500.0
75,485,0,1,0,0.0,0,0,1,1,0,61,0,1500.0,0,0,4,0,0,0,1,2006,0,2800,0,1,103,0,1,5,0,26,0,0,0,1,3,0,750,1,1,0,0,0,1,10,0,1500.0
76,598,0,1,0,0.0,1,0,1,8,0,19,0,7500.0,0,0,1,0,0,1,0,2011,0,3000,0,1,13,0,1,0,0,19,0,0,0,0,2,0,750,1,1,0,0,0,1,14,1,7500.0
77,3027,0,1,0,0.0,1,1,0,10,0,68,0,10500.0,0,0,1,0,1,0,0,2014,0,3000,0,0,158,0,1,3,1,10,0,0,0,0,1,0,750,1,0,0,0,0,2,7,0,10500.0
78,4730,0,1,0,0.0,0,0,0,1,0,44,0,34000.0,0,0,3,1,0,2,0,2019,1,3000,0,1,36,0,1,4,0,11,0,0,1,0,2,2,750,0,1,0,0,0,1,1,1,34000.0
79,1717,1,0,0,14500.0,1,0,0,6,0,57,1,54500.0,0,0,2,0,0,2,0,2018,0,3000,1,0,157,1,1,1,0,11,0,0,0,0,2,2,750,1,1,0,0,0,0,7,0,40000.0
80,236,1,0,1,0.0,0,0,0,10,0,24,1,11500.0,0,0,3,0,0,0,0,2018,0,2900,0,0,15,0,1,4,0,18,0,0,0,0,1,0,750,1,1,0,0,0,3,11,1,11500.0
81,520,0,1,0,0.0,0,0,0,8,0,71,1,13500.0,0,0,3,1,0,0,0,2017,0,2450,0,0,142,0,1,0,0,26,1,0,0,0,2,0,750,0,1,0,0,0,1,14,1,13500.0
82,2262,0,1,0,0.0,1,0,1,12,0,62,0,10500.0,0,1,3,0,0,2,0,2016,0,3000,1,0,148,0,1,5,0,14,0,0,0,0,2,1,750,1,1,0,0,0,0,14,0,10500.0
83,3855,1,0,0,0.0,0,0,1,1,0,42,1,33000.0,0,0,3,0,0,4,0,2020,0,3000,0,0,100,0,1,3,0,17,0,0,0,1,3,2,750,1,1,0,0,0,3,17,1,33000.0
84,2854,1,0,0,0.0,1,0,0,3,0,58,0,19500.0,0,1,3,0,0,2,0,2020,0,3000,1,0,141,0,1,2,0,27,0,0,0,0,2,1,750,1,1,0,0,0,1,7,0,19500.0
85,79,1,0,0,0.0,0,1,0,11,0,46,0,17000.0,1,0,4,0,0,0,0,2015,0,3000,0,0,268,0,1,6,1,17,0,1,0,0,1,1,750,1,0,0,0,0,2,19,0,17000.0
86,1816,1,0,0,0.0,0,0,0,12,1,58,1,12000.0,0,0,1,0,0,2,0,2017,0,3000,0,0,131,0,1,6,0,1,1,0,0,0,2,0,750,0,1,0,0,0,3,8,1,12000.0
87,3479,0,1,0,30000.0,0,0,1,2,0,41,1,46000.0,0,0,3,0,0,0,0,2015,0,3000,0,0,133,3,1,0,0,4,0,1,0,0,3,1,750,1,1,0,0,0,0,10,1,16000.0
88,1879,1,0,0,0.0,1,0,1,4,0,74,0,22000.0,0,0,1,0,0,0,0,2016,0,2550,0,1,292,0,1,3,0,18,0,0,0,0,2,1,750,1,1,0,0,0,2,12,1,22000.0
89,269,0,1,0,9000.0,1,0,1,8,0,40,0,26000.0,0,0,3,0,0,2,0,2020,0,3000,0,1,131,1,1,1,0,27,0,0,0,0,3,1,750,1,1,0,0,0,1,12,1,17000.0
90,2029,0,1,0,0.0,0,0,0,8,0,25,0,19500.0,0,0,3,1,0,0,0,2018,0,3000,0,1,26,0,2,6,0,18,0,0,0,0,2,1,750,1,1,0,0,0,1,17,1,19500.0
91,417,0,1,0,15000.0,1,0,1,1,0,48,0,31500.0,0,0,3,0,0,1,0,2019,0,2900,0,1,115,1,1,1,0,22,0,0,0,0,3,1,750,1,1,0,0,0,0,8,1,16500.0
92,4005,0,1,0,0.0,0,1,0,6,0,43,0,6000.0,0,0,3,1,1,0,0,2010,0,3000,0,0,70,0,1,5,1,15,0,0,0,0,1,0,750,1,0,0,0,0,2,5,0,6000.0
93,2743,0,1,1,0.0,0,0,0,1,0,59,0,12000.0,0,0,1,0,0,1,1,2012,0,3000,0,1,34,0,2,0,0,21,0,0,0,0,2,0,750,1,1,0,0,0,2,10,0,12000.0
94,1449,0,1,0,0.0,1,1,0,10,0,57,0,20000.0,0,0,1,0,1,0,0,2019,0,2600,0,0,32,0,2,2,1,16,1,0,0,0,1,0,750,0,0,0,0,0,0,15,0,20000.0
95,3126,0,1,0,10500.0,1,0,1,5,0,43,1,28500.0,0,0,4,0,0,2,0,2015,0,2950,0,0,135,1,1,0,0,27,0,0,0,0,3,1,750,1,1,0,0,0,2,4,1,18000.0
96,4802,1,0,0,0.0,1,0,0,1,0,28,0,17000.0,0,1,4,0,0,0,0,2020,0,2850,0,0,75,0,1,0,0,21,1,0,0,0,1,0,750,0,1,0,0,0,1,17,1,17000.0
97,4855,0,1,0,0.0,0,1,0,9,0,55,0,20500.0,0,0,1,1,1,0,0,2016,0,2650,0,0,81,0,1,3,1,5,0,0,0,0,1,1,750,1,0,0,0,0,3,16,0,20500.0
98,3380,0,1,0,22500.0,0,0,1,3,1,48,1,48500.0,0,0,1,0,0,1,0,2013,0,2700,1,0,279,1,1,3,0,21,0,0,0,0,3,2,750,1,1,0,0,0,3,14,0,26000.0
99,3568,0,1,0,26000.0,0,0,1,6,1,46,0,47000.0,0,0,3,0,0,1,0,2018,0,2650,0,1,85,2,1,1,0,25,0,0,0,0,2,1,750,1,1,0,0,0,1,12,1,21000.0
100,2173,0,1,0,4000.0,0,0,1,5,0,53,1,16000.0,0,0,3,0,0,1,0,2015,0,3000,1,0,169,1,1,1,0,21,0,0,0,1,2,1,750,1,1,0,0,0,1,23,0,12000.0
101,2268,0,1,0,0.0,1,1,0,9,0,61,0,12000.0,0,0,1,0,1,0,0,2018,0,2750,0,0,170,0,1,4,1,13,0,0,0,0,1,0,750,1,0,0,0,0,3,15,0,12000.0
102,3801,0,1,0,2500.0,1,0,1,1,0,55,0,35500.0,0,1,1,0,0,2,0,2017,0,3000,0,0,149,3,1,1,0,15,0,0,0,0,3,2,750,1,1,0,0,0,2,9,1,33000.0
103,624,0,1,0,0.0,1,0,1,11,0,48,1,15500.0,0,0,1,0,0,1,0,2019,0,3000,0,0,142,0,1,5,0,2,0,0,0,0,3,1,750,1,1,0,0,0,1,17,1,15500.0
104,3870,1,0,0,0.0,1,0,1,2,0,26,0,11500.0,0,0,2,0,0,0,0,2010,0,2700,0,1,4,0,1,0,0,18,0,0,0,0,2,1,750,1,1,0,0,0,0,20,1,11500.0
105,2564,1,0,0,30000.0,1,0,1,4,0,41,1,57500.0,0,0,3,0,0,1,0,2014,0,3000,0,0,22,1,3,5,0,27,0,0,0,0,3,2,750,1,1,0,0,0,2,9,1,27500.0
106,4055,1,0,0,0.0,1,0,1,10,0,25,0,26500.0,0,1,3,0,0,0,0,2016,0,3000,0,0,24,0,2,3,0,10,0,0,0,0,2,2,750,1,1,0,0,0,1,9,1,26500.0
107,4197,0,1,0,0.0,1,0,0,3,0,44,0,14000.0,0,1,3,0,0,0,0,2018,0,3000,0,0,72,0,1,3,0,7,0,0,0,0,2,1,750,1,1,0,0,1,1,17,0,14000.0
108,1077,1,0,0,0.0,1,1,0,3,0,69,0,6000.0,0,0,1,0,1,0,0,2009,0,2500,0,0,217,0,1,4,1,22,0,0,0,0,1,0,850,1,0,0,0,0,2,16,0,6000.0
109,1178,1,0,0,0.0,1,0,0,1,0,75,1,12000.0,0,0,4,0,0,2,0,2015,0,2750,0,0,75,0,1,6,0,13,1,0,0,0,2,0,750,0,1,0,0,0,0,11,1,12000.0
110,2941,0,1,0,0.0,0,0,0,10,0,33,0,3000.0,0,1,3,0,0,0,0,2012,0,3000,0,0,33,0,3,4,0,25,1,1,0,0,1,0,750,0,1,0,0,0,1,8,1,3000.0
111,1363,1,0,0,30000.0,1,0,0,2,0,25,1,69500.0,0,0,1,0,0,1,0,2017,1,3000,0,0,75,1,1,0,0,4,0,0,0,0,2,2,750,0,1,0,0,0,2,8,1,39500.0
112,4773,0,1,1,0.0,0,0,0,1,0,25,0,7500.0,0,0,3,0,0,0,1,2018,0,3000,0,1,34,0,3,6,0,13,1,0,0,0,1,0,750,0,1,0,0,0,2,0,0,7500.0
113,4813,0,1,0,0.0,1,0,1,10,0,71,0,9500.0,0,1,4,0,0,0,0,2017,0,3000,0,0,52,0,2,3,0,10,0,0,0,0,3,0,750,1,1,0,0,0,0,7,1,9500.0
114,31,1,0,1,0.0,0,1,0,10,0,48,0,14000.0,0,0,4,0,1,0,0,2015,0,3000,0,0,4,0,3,5,1,5,0,0,0,0,1,0,750,1,0,1,0,0,3,8,0,14000.0
115,1740,1,0,0,13500.0,0,0,0,2,0,66,1,30500.0,0,0,4,1,0,0,0,2016,0,3000,0,0,97,1,1,4,0,1,0,0,0,0,2,1,750,1,1,0,0,0,2,9,1,17000.0
116,3412,1,0,1,0.0,0,1,1,12,0,42,0,7500.0,0,0,3,0,1,0,0,2020,0,3000,0,0,43,0,1,3,1,12,0,0,0,0,1,0,750,1,0,0,0,0,3,18,0,7500.0
117,3477,1,0,0,0.0,0,0,1,2,1,56,1,13000.0,0,0,3,0,0,1,0,2014,0,3000,0,0,169,0,1,0,0,25,0,0,0,0,3,1,750,1,1,0,0,0,1,8,1,13000.0
118,266,1,0,1,0.0,0,0,0,8,0,32,1,1000.0,0,0,3,0,0,4,0,2006,0,2650,0,0,80,0,1,2,0,21,0,0,0,0,2,0,750,1,1,0,0,0,2,18,1,1000.0
119,2322,0,1,0,1500.0,0,0,1,3,0,57,0,23000.0,0,1,4,0,0,5,0,2012,0,2450,0,0,147,4,1,6,0,24,0,1,0,0,4,2,750,1,1,0,0,0,3,20,1,21500.0
120,2788,1,0,0,0.0,1,0,0,2,0,36,0,1000.0,0,0,3,0,0,0,0,2008,0,2850,0,1,55,0,2,2,0,27,1,0,0,0,1,0,750,0,1,0,0,0,0,8,1,1000.0
121,4670,1,0,0,25000.0,1,0,0,6,0,58,1,41500.0,0,0,3,0,0,0,0,2008,1,3000,0,0,127,1,1,1,0,11,0,0,0,0,2,2,750,0,1,0,0,0,1,4,1,16500.0
122,4698,0,1,0,13000.0,1,0,1,5,0,70,1,41500.0,0,0,4,0,0,2,1,2018,0,3000,0,0,195,1,1,1,0,28,0,0,0,0,3,2,750,1,1,0,0,0,0,9,0,28500.0
123,3159,1,0,0,0.0,1,0,0,3,0,52,1,5500.0,0,0,1,0,0,0,0,2015,0,3000,0,0,149,0,1,2,0,6,1,0,0,0,2,0,750,0,1,0,0,0,2,18,1,5500.0
